IMINE2-E-015,0.333333333,Manchester Manchester United,manchest unit vs chelsea,manchest unit transfer,manchest unit roster,manchest unit f.c.manchest unit video game seri,manchest unit,,,,,,,,,,,
IMINE2-E-015,0.333333333,Manchester university of Manchester,the univers of manchest,manchest school anthropolog,,,,,,,,,,,,,,
IMINE2-E-015,0.333333333,Manchester UK,manchest woodford aerodrom,manchest map,manchest england,manchest citi,manchest airport,greater manchest urban area,citi airport manchest,,,,,,,,,
IMINE2-E-016,0.307692308,PS playstation,psn,ps vita game,ps store,ps psn,playstat 4,playstat,,,,,,,,,,
IMINE2-E-016,0.230769231,PS ps in a letter,what doe ps mean in a letter,ps in email,postscript/post scriptum,,,,,,,,,,,,,
IMINE2-E-016,0.230769231,PS Adobe Photoshop,ps download,adob photoshop,,,,,,,,,,,,,,
IMINE2-E-016,0.153846154,PS album,p.s. album,,,,,,,,,,,,,,,
IMINE2-E-016,0.076923077,PS Aeropostale clothing,ps aeropostal,,,,,,,,,,,,,,,
IMINE2-E-017,0.277777778,elegy poems,famou elegi,elegi exampl,,,,,,,,,,,,,,
IMINE2-E-017,0.222222222,elegy movie,elegi penelop cruz,,,,,,,,,,,,,,,
IMINE2-E-017,0.166666667,elegy genre,sonnet,eulogi,ballad,,,,,,,,,,,,,
IMINE2-E-017,0.166666667,elegy definition,elegi literari term,,,,,,,,,,,,,,,
IMINE2-E-017,0.111111111,elegy how to write,how to write an elegi poem,,,,,,,,,,,,,,,
IMINE2-E-017,0.055555556,elegy game,elegi for a dead world,,,,,,,,,,,,,,,
IMINE2-E-018,0.25,Elizabeth Queen Elizabeth II,queen elizabeth ii,elizabeth ii,,,,,,,,,,,,,,
IMINE2-E-018,0.25,Elizabeth movie,elizabeth movi,,,,,,,,,,,,,,,
IMINE2-E-018,0.25,Elizabeth Elizabeth I of England,elizabeth i of england,,,,,,,,,,,,,,,
IMINE2-E-018,0.125,Elizabeth meaning,mean of elizabeth,elizabeth given name,,,,,,,,,,,,,,
IMINE2-E-018,0.0625,Elizabeth Elizabeth Taylor actress,elizabeth taylor,,,,,,,,,,,,,,,
IMINE2-E-018,0.0625,Elizabeth Olsen actress,elizabeth olsen,,,,,,,,,,,,,,,
IMINE2-E-019,0.416666667,Yosemite general information,yosemit webcam,yosemit vallei,yosemit nation park,yosemit mountain sugar pine railroad,yosemit map,yosemit lake,yosemit half dome,yosemit fall,yosemit death 2015,,,,,,,
IMINE2-E-019,0.333333333,Yosemite OS,yosemit os,yosemit appl,el capitan yosemit,,,,,,,,,,,,,
IMINE2-E-019,0.25,Yosemite stay,yosemit lodg,yosemit hotel,yosemit campground,yosemit cabin for rent,yosemit cabin,,,,,,,,,,,
IMINE2-E-020,0.294117647,Williams tennis college,william tenni camp,amherst tenni,,,,,,,,,,,,,,
IMINE2-E-020,0.235294118,Williams tennis Venus williams,venu william tenni player,venu william tenni,doe venu william still plai tenni,,,,,,,,,,,,,
IMINE2-E-020,0.235294118,Williams tennis general,william tenni women&#39,william tenni sister,william tenni recruit,william tenni player,william tenni match todai,william tenni match,,,,,,,,,,
IMINE2-E-020,0.235294118,Williams tennis Serena Williams,serena william tenni,s william tenni,,,,,,,,,,,,,,
IMINE2-E-021,0.263157895,nirvana songs,nirvana unplug,nirvana song list,nirvana nevermind,nirvana lyric,nirvana lithium,nirvana come as you ar,nirvana all apolog,best nirvana lyric,all nirvana song,10 best nirvana song,,,,,,
IMINE2-E-021,0.263157895,nirvana albums,nirvana herbi mann and the bill evan trio album,nirvana bucki pizzarelli album,,,,,,,,,,,,,,
IMINE2-E-021,0.210526316,nirvana American band,nirvana histori,kurt cobain,,,,,,,,,,,,,,
IMINE2-E-021,0.157894737,nrivana word,nirvana definit,,,,,,,,,,,,,,,
IMINE2-E-021,0.105263158,nirvana religion,nirvana buddhism,,,,,,,,,,,,,,,
IMINE2-E-022,0.266666667,tomahawk axe,tomahawk ax,tactic tomahawk,nativ american tomahawk,combat tomahawk,,,,,,,,,,,,
IMINE2-E-022,0.266666667,tomahawk military,uss tomahawk ao-88,tomahawk missil,hawk 81a,,,,,,,,,,,,,
IMINE2-E-022,0.133333333,tomahawk places,tomahawk wisconsin,tomahawk wi,tomahawk lake water park nj,tomahawk lake,tomahawk lagoon,ocean grove,lake tomahawk,,,,,,,,,
IMINE2-E-022,0.133333333,tomahawk band,tomahawk band,,,,,,,,,,,,,,,
IMINE2-E-022,0.066666667,tomahawk for sale,tomahawk for sale,,,,,,,,,,,,,,,
IMINE2-E-022,0.066666667,tomahawk sports,toronto tomahawk,tom hawkin footbal,in footbal/soccer,in basketbal,a turn maneuv us in roller skate,,,,,,,,,,,
IMINE2-E-022,0.066666667,tomahawk company,tomahawk shade,,,,,,,,,,,,,,,
IMINE2-E-023,0.266666667,magnus people ,magnu wrestler,magnu tna wrestler,magnu forteman,magnu carlsen,magnu broadhead,magnu bane,,,,,,,,,,
IMINE2-E-023,0.266666667,magnus company,magnussen furnitur,magnu harmonica corpor,,,,,,,,,,,,,,
IMINE2-E-023,0.2,magnus fiction characters,magnu marvel,magnu chase,,,,,,,,,,,,,,
IMINE2-E-023,0.2,magnus word,magnu mean,,,,,,,,,,,,,,,
IMINE2-E-023,0.066666667,magnus physics,magnu effect,,,,,,,,,,,,,,,
IMINE2-E-024,0.384615385,kitkat food,kitkat usa,kit kat nutrit,kit kat cake,kit kat bar,,,,,,,,,,,,
IMINE2-E-024,0.307692308,kitkat android,lollipop vs kitkat,kitkat download,kitkat 4.4.4,kitkat 4.4 download,kitkat 4.4,android kitkat 4.4 problem,android kitkat,android 4.4 kitkat,,,,,,,,
IMINE2-E-024,0.230769231,kitkat website,kitkat.ca,,,,,,,,,,,,,,,
IMINE2-E-024,0.076923077,kitkat phone,kitkat phone,,,,,,,,,,,,,,,
IMINE2-E-026,0.222222222,warner brothers jobs,warner brother job,warner brother career,,,,,,,,,,,,,,
IMINE2-E-026,0.222222222,warner brothers movies,warner brother movi,,,,,,,,,,,,,,,
IMINE2-E-026,0.166666667,warner brothers cartoons,warner brother cartoon,warner brother cartoon,,,,,,,,,,,,,,
IMINE2-E-026,0.166666667,warner brothers music,warner brother record,,,,,,,,,,,,,,,
IMINE2-E-026,0.055555556,warner brothers tour,warner brother tour,,,,,,,,,,,,,,,
IMINE2-E-026,0.055555556,warner brothers television,warner brother televis,,,,,,,,,,,,,,,
IMINE2-E-026,0.055555556,warner brothers studio,warner brother studio,,,,,,,,,,,,,,,
IMINE2-E-026,0.055555556,warner brothers store,warner brother store,,,,,,,,,,,,,,,
IMINE2-E-027,0.714285714,socrates famous philosopher,socrat the younger,socrat quot,socrat philosophi of life,socrat philosophi,socrat' death,socrat death,socrat belief,socrat apolog,plato,aristotl,,,,,,
IMINE2-E-027,0.142857143,socrates people,sokrati papastathopoulo born 1988,sokrati bountouri born 1977,s??crate 1954???011,saukrat born 1978,assassin of sokrati giolia 1973???010logi,pl,,,,,,,,,,
IMINE2-E-027,0.142857143,socrates literature,socrat sit on a cloud and teach the philosophi of creativ and love to parmenid,,,,,,,,,,,,,,,
IMINE2-E-028,0.555555556,Robert Kennedy family,who kill robert kennedi,robert kennedi speech,robert kennedi mlk speech,robert kennedi civil right,robert kennedi biographi,robert kennedi assassin photo,robert kennedi assassin,robert kennedi apush,robert f. kennedi,robert f kennedi autopsi photo,robert f kennedi assassin,kennedi famili,john kennedi,ethel kennedi,,
IMINE2-E-028,0.333333333,Robert Kennedy jr,robert kennedi jr,about robert f kennedi jr,,,,,,,,,,,,,,
IMINE2-E-028,0.111111111,Robert Kennedy politician,robert b. kennedi born 1940,,,,,,,,,,,,,,,
IMINE2-E-029,0.235294118,fossil watches,fossil watch,fossil watch,,,,,,,,,,,,,,
IMINE2-E-029,0.117647059,fossil fuels,fossil fuel,,,,,,,,,,,,,,,
IMINE2-E-029,0.117647059,fossil handbags,fossil handbag fossil outlet store,fossil handbag,,,,,,,,,,,,,,
IMINE2-E-029,0.117647059,fossil outlet,fossil outlet store,,,,,,,,,,,,,,,
IMINE2-E-029,0.117647059,fossil word,fossil definit,,,,,,,,,,,,,,,
IMINE2-E-029,0.117647059,fossil purses,fossil purs,,,,,,,,,,,,,,,
IMINE2-E-029,0.058823529,fossil types,list of fossil type,,,,,,,,,,,,,,,
IMINE2-E-029,0.058823529,fossil place,fossil rim,fossil creek az,fossil corpor headquart,,,,,,,,,,,,,
IMINE2-E-029,0.058823529,fossil phenomenon,interlanguag fossil,,,,,,,,,,,,,,,
IMINE2-E-030,0.294117647,star wars films,the empir strike back,star war the forc awaken,star war holidai special,star war episod iii: reveng of the sith,star war episod ii: attack of the clone,star war episod i: the phantom menac,star war episod 7,star war cast,return of the jedi,episod vii: the forc awaken 2015,,,,,,
IMINE2-E-030,0.235294118,star wars trailer,the forc awaken trailer,star war 7 trailer,,,,,,,,,,,,,,
IMINE2-E-030,0.235294118,star wars characters,star war charact,,,,,,,,,,,,,,,
IMINE2-E-030,0.117647059,star wars games,star war: the old republ,star war the old republ,star war battlefront,,,,,,,,,,,,,
IMINE2-E-030,0.058823529,star wars tv series,star war: clone war 2003 tv seri,,,,,,,,,,,,,,,
IMINE2-E-030,0.058823529,star wars books,star war: x-wing book seri,,,,,,,,,,,,,,,
IMINE2-E-031,0.25,maple trees types,type of mapl tree,mapl tree type,,,,,,,,,,,,,,
IMINE2-E-031,0.15,maple trees species,red mapl tree,,,,,,,,,,,,,,,
IMINE2-E-031,0.15,maple trees pictures,mapl tree pictur,,,,,,,,,,,,,,,
IMINE2-E-031,0.15,maple trees syrup,mapl tree for syrup,,,,,,,,,,,,,,,
IMINE2-E-031,0.1,maple trees facts,fact about mapl tree,,,,,,,,,,,,,,,
IMINE2-E-031,0.1,maple trees japanese,prune japanes mapl tree,,,,,,,,,,,,,,,
IMINE2-E-031,0.05,maple trees cure,mapl tree dy,,,,,,,,,,,,,,,
IMINE2-E-031,0.05,maple trees leaf,mapl tree leaf identif,,,,,,,,,,,,,,,
IMINE2-E-032,0.357142857,iraq war history,iraq war timelin,iraq war histori,iraq war apush,how did the iraq war start,histori of iraq war 2003,,,,,,,,,,,
IMINE2-E-032,0.214285714,iraq war videos,youtub iraq war video,iraq war documentari,,,,,,,,,,,,,,
IMINE2-E-032,0.142857143,iraq war invasion,post-invas iraq,iraq war 2003,battl of baghdad disambigu,,,,,,,,,,,,,
IMINE2-E-032,0.142857143,iraq war pictures,iraq war pictur,,,,,,,,,,,,,,,
IMINE2-E-032,0.071428571,iraq war casualties,iraq war casualti,,,,,,,,,,,,,,,
IMINE2-E-032,0.071428571,iraq war cost,iraq war cost,,,,,,,,,,,,,,,
IMINE2-E-033,0.19047619,santa claus films,the santa claus 3: the escap claus,santa clau conquer the martian,,,,,,,,,,,,,,
IMINE2-E-033,0.19047619,santa claus history,sinterklaa,,,,,,,,,,,,,,,
IMINE2-E-033,0.142857143,santa claus pictures,santa clau pictur,,,,,,,,,,,,,,,
IMINE2-E-033,0.142857143,santa claus village finland,santa clau villag finland,,,,,,,,,,,,,,,
IMINE2-E-033,0.095238095,santa claus father christmas,father christma disambigu,christma gift-bringer,,,,,,,,,,,,,,
IMINE2-E-033,0.095238095,santa claus track,track santa clau right now,,,,,,,,,,,,,,,
IMINE2-E-033,0.047619048,santa claus songs,santa clau is come to town lyric,,,,,,,,,,,,,,,
IMINE2-E-033,0.047619048,santa claus letter,letter to santa,,,,,,,,,,,,,,,
IMINE2-E-033,0.047619048,santa claus indiana,santa clau land,santa clau indiana,,,,,,,,,,,,,,
IMINE2-E-034,0.19047619,digital art gallery,digit art galleri,,,,,,,,,,,,,,,
IMINE2-E-034,0.19047619,digital art websites,free digit art websit,creat digit art onlin,,,,,,,,,,,,,,
IMINE2-E-034,0.142857143,digital art learning,what is digit art,how to creat digit art,digit art and design,,,,,,,,,,,,,
IMINE2-E-034,0.142857143,digital art programs,digit art program,,,,,,,,,,,,,,,
IMINE2-E-034,0.142857143,digital art artwork,free digit art,,,,,,,,,,,,,,,
IMINE2-E-034,0.095238095,digital art artist,digit artist salari,,,,,,,,,,,,,,,
IMINE2-E-034,0.095238095,digital art software,free digit art softwar,,,,,,,,,,,,,,,
IMINE2-E-035,0.263157895,moody blues songs,moodi blue wildest dream,moodi blue song list,moodi blue night in white satin,moodi blue lyric,moodi blue greatest hit,moodi blue go now,moodi blue discographi,,,,,,,,,
IMINE2-E-035,0.210526316,moody blues albums,moodi blue full album,,,,,,,,,,,,,,,
IMINE2-E-035,0.157894737,moody blues youtube,moodi blue youtub playlist,,,,,,,,,,,,,,,
IMINE2-E-035,0.157894737,moody blues members,rai thoma moodi blue di,justin hayward,,,,,,,,,,,,,,
IMINE2-E-035,0.105263158,moody blues cruise,moodi blue cruis,,,,,,,,,,,,,,,
IMINE2-E-035,0.105263158,moody blues tour,moodi blue tour 2015,,,,,,,,,,,,,,,
IMINE2-E-036,0.277777778,uyghur cuisine restaurant,uyghur restaur,uyghur cuisin dandenong,,,,,,,,,,,,,,
IMINE2-E-036,0.222222222,uyghur cuisine food,xinjiang food,uyghur food,,,,,,,,,,,,,,
IMINE2-E-036,0.166666667,uyghur cuisine menu,uighur cuisin menu,,,,,,,,,,,,,,,
IMINE2-E-036,0.166666667,uyghur cuisine region,uighur cuisin sydnei menu,uighur cuisin melbourn,,,,,,,,,,,,,,
IMINE2-E-036,0.111111111,uyghur cuisine recipes,uyghur cuisin recip,,,,,,,,,,,,,,,
IMINE2-E-036,0.055555556,uyghur cuisine spice,xinjiang spice,,,,,,,,,,,,,,,
IMINE2-E-037,0.25,bass guitars brands,yamaha bass guitar,fender bass guitar,,,,,,,,,,,,,,
IMINE2-E-037,0.25,bass guitars sale,cheap bass guitar for sale,bass guitar on sale,bass guitar cheap,,,,,,,,,,,,,
IMINE2-E-037,0.1875,bass guitars mail order,bass guitar ebai,,,,,,,,,,,,,,,
IMINE2-E-037,0.125,bass guitars types,custom bass guitar,bass guitar for metal,,,,,,,,,,,,,,
IMINE2-E-037,0.125,bass guitars learning,learn to plai bass guitar,,,,,,,,,,,,,,,
IMINE2-E-037,0.0625,bass guitars store,bass guitar chicago,,,,,,,,,,,,,,,
IMINE2-E-038,0.3125,poker games,video poker,poker game,poker 94,free texa holdem poker game,free poker game,free poker,,,,,,,,,,
IMINE2-E-038,0.3125,poker play online,yahoo poker,onlin poker,free onlin poker no monei,,,,,,,,,,,,,
IMINE2-E-038,0.125,poker learn rules,poker rule,list of poker hand,,,,,,,,,,,,,,
IMINE2-E-038,0.125,poker texas holdem poker,zynga texa holdem poker,texa holdem poker,,,,,,,,,,,,,,
IMINE2-E-038,0.125,poker website,pokerstar,,,,,,,,,,,,,,,
IMINE2-E-039,0.714285714,swallow bird,swallow pictur,swallow bird,swallow bird,differ swallow bird,,,,,,,,,,,,
IMINE2-E-039,0.285714286,swallow act,the act of swallow,,,,,,,,,,,,,,,
IMINE2-E-040,0.3125,pokemon anime,pok???mon anim ,,,,,,,,,,,,,,,
IMINE2-E-040,0.3125,pokemon games,poptropica,pok??mon trade card game,pokemon tower defens,pokemon rumbl world password,pok??mon game,pokemon game,pokemon color page,plai pokemon game,googl map: pok??mon challengeth ,,,,,,,
IMINE2-E-040,0.25,pokemon pictures,pokemon pictur,,,,,,,,,,,,,,,
IMINE2-E-040,0.125,pokemon cards,pokemon card,,,,,,,,,,,,,,,
IMINE2-E-041,0.357142857,gaba gamma-aminobutyric acid ,too much gaba side effect,gamma-aminobutyr acid,gaba receptor,gaba neurotransmitt,gaba defici symptom,,,,,,,,,,,
IMINE2-E-041,0.285714286,gaba supplement,where to bui gaba supplement,gaba at walgreen,,,,,,,,,,,,,,
IMINE2-E-041,0.214285714,gaba what is gaba,what is gaba,,,,,,,,,,,,,,,
IMINE2-E-041,0.142857143,gaba gabapentin,gabapentin withdraw,gabapentin dosag,gabapentin,,,,,,,,,,,,,
IMINE2-E-042,0.454545455,cat Animal cat,why do cat purr,domest short hair cat,ani member of the felida,10 funniest cat video,10 amaz fact about cat,,,,,,,,,,,
IMINE2-E-042,0.363636364,cat catterpillar,caterpillar equip,,,,,,,,,,,,,,,
IMINE2-E-042,0.090909091,cat cat in the hat,cat in the hat,,,,,,,,,,,,,,,
IMINE2-E-042,0.090909091,cat nickname,nicknam for catherin or katherin given name,,,,,,,,,,,,,,,
IMINE2-E-043,0.555555556,boy names find popular boy names,strong boi name,new babi name 2015,list of boi name,irish boi name,cool boi name,boi name 2015,babi boi name 2015,babi boi name,1000 most popular boi name,,,,,,,
IMINE2-E-043,0.333333333,boy names find uncommon boy names,uniqu uncommon babi boi name,uncommon boi name 2015,,,,,,,,,,,,,,
IMINE2-E-043,0.111111111,boy names boy names that start with *,boi name that start with m,boi name that start with j,boi name that start with c,boi name that start with b,boi name that start with a,,,,,,,,,,,
IMINE2-E-044,0.222222222,powerpoint powerpoint free download,powerpoint free download,microsoft powerpoint 2014 free download,,,,,,,,,,,,,,
IMINE2-E-044,0.166666667,powerpoint powerpoint online,powerpoint onlin free no download,make a powerpoint onlin for free,,,,,,,,,,,,,,
IMINE2-E-044,0.111111111,powerpoint for beginners,powerpoint for beginn,,,,,,,,,,,,,,,
IMINE2-E-044,0.111111111,powerpoint powerpoint templates,powerpoint templat free,,,,,,,,,,,,,,,
IMINE2-E-044,0.111111111,powerpoint powerpoint free,powerpoint free,creat a powerpoint for free,,,,,,,,,,,,,,
IMINE2-E-044,0.111111111,powerpoint powerpoint viewer,powerpoint viewer,,,,,,,,,,,,,,,
IMINE2-E-044,0.111111111,powerpoint powerpoint for mac,powerpoint for mac,,,,,,,,,,,,,,,
IMINE2-E-044,0.055555556,powerpoint powerpoint presentation,powerpoint present,,,,,,,,,,,,,,,
IMINE2-E-045,0.357142857,denmark nation,fact about denmark,denmark time,denmark tax rate,denmark street,denmark state bank,denmark minimum wage,denmark map,denmark languag,denmark flag,denmark currenc,denmark cultur,denmark,danmark island,20 fact about denmark,,
IMINE2-E-045,0.357142857,denmark pictures,denmark pictur,,,,,,,,,,,,,,,
IMINE2-E-045,0.214285714,denmark living in denmark,cost of live in denmark,,,,,,,,,,,,,,,
IMINE2-E-045,0.071428571,denmark moving to denmark,move to denmark,,,,,,,,,,,,,,,
IMINE2-E-046,0.210526316,gardening gardening supplies,garden tool,garden suppli,,,,,,,,,,,,,,
IMINE2-E-046,0.210526316,gardening flower gardening,flower garden,,,,,,,,,,,,,,,
IMINE2-E-046,0.210526316,gardening gardening tips,garden tip for beginn,garden for beginn,,,,,,,,,,,,,,
IMINE2-E-046,0.157894737,gardening ideas,garden zone,,,,,,,,,,,,,,,
IMINE2-E-046,0.157894737,gardening vegetable gardening,veget garden,,,,,,,,,,,,,,,
IMINE2-E-046,0.052631579,gardening container gardening,contain garden idea,,,,,,,,,,,,,,,
IMINE2-E-047,0.416666667,t-test what is t-test,t-test tabl,t-test p valu,t-test definit,t test p valu,step of t-test,pair t-test,on sampl t-test,k-sampl test,,,,,,,,
IMINE2-E-047,0.333333333,t-test computation,t-test in r,t-test calcul,t test chart,t test calcul,on sampl t test calcul,,,,,,,,,,,
IMINE2-E-047,0.25,t-test t test example ,t-test exampl,t test exampl problem,,,,,,,,,,,,,,
IMINE2-E-048,0.416666667,sodium sodium in food,what is sodium in food,food high in sodium,,,,,,,,,,,,,,
IMINE2-E-048,0.333333333,sodium what is sodium,recommend daili sodium intak,,,,,,,,,,,,,,,
IMINE2-E-048,0.25,sodium sodium  compound ,sodium phosphat,sodium hydroxid,sodium carbon,sodium bicarbon,sodium benzoat,,,,,,,,,,,
